word,category,remove,Living,thought_mean,repro_mean,person_mean,goals_mean,move_mean,living_score,thought_score,repro_score,person_score,goals_score,move_score,concreteness,familiarity,IMG,availability,meaningfulness,valence,arousal,dominance,age_of_acquisition,word_length,OrthoN,PhonoN,n_syllables,word_frequency,SUBTLCD,anim_mental,anim_physical,broad_category,group,group_id
army,C,,571,522,571,420,592,604,24,23,24,25,24,26,543,555,578,1.77085201164214,12,4.65,4.49,4.65,7.15,4,2,8,2,85.69,17.95,528.387843921027,580.312113285563,Object,"High Mental, High Physical",1
dragon,S,,358,341,381,168,381,604,26,29,27,22,27,25,549,425,670,1,23,6.68,5.45,5.17,5.58,6,0,0,2,19.29,3.3,339.858415675141,399.826603730243,Object,"High Mental, High Physical",1
village,E A,,354,312,426,296,436,176,28,26,23,25,28,25,576,524,578,0.477121254719662,15,5.95,3.4,5.6,7.84,7,2,3,2,33.57,9.23,344.251639053365,367.236997132292,Object,"High Mental, High Physical",1
giant,S,,458,440,346,408,328,512,24,25,26,24,25,26,515,469,562,0.778151250383644,17,5.41,5.1,6.68,4.72,5,1,0,1,27.06,10.26,440.852120963072,440.997102652074,Object,"High Mental, High Physical",1
planet,E C,,480,274,239,168,374,516,25,27,28,25,27,25,523,457,578,1.23044892137827,9,6.27,4.35,6.11,6.67,6,3,1,2,38.73,10.23,315.140930571381,401.562789456914,Object,"High Mental, High Physical",1
mermaid,S,,427,333,327,419,264,544,26,24,26,26,28,25,494,391,578,0,21,7.05,5.58,4.33,5.68,7,0,1,2,3.16,0.87,349.597474643704,391.407992530622,Object,"High Mental, High Physical",1
elf,S,,420,341,400,359,312,571,25,22,25,27,26,24,437,355,543,0.602059991327962,22,6.1,4.3,5.43,4.32,3,7,7,1,3.78,0.91,345.788893662327,417.999866618254,Object,"High Mental, High Physical",1
fairy,S,,388,279,269,357,319,600,26,24,26,21,26,26,433,471,536,1,13,6.71,5.04,6.38,5.17,5,4,30,2,16.69,5.13,322.625473971272,343.881853413461,Object,"High Mental, High Physical",1
nation,C,,392,352,212,288,519,233,26,23,25,25,27,24,415,508,436,0.602059991327962,12,6,4.78,4.74,7.74,6,2,3,2,20.49,7.39,429.986738143714,332.190943379449,Object,"High Mental, High Physical",1
angel,S,,288,432,274,400,514,600,26,25,27,23,28,25,399,470,554,1.11394335230684,14,7.71,4.24,5.9,4,5,2,0,2,78.27,13.26,486.42434204382,315.920593400568,Object,"High Mental, High Physical",1
goddess,S,,520,372,396,517,485,521,25,25,27,24,26,28,334,372,515,0,19,6.63,4.55,5.75,8.37,7,1,1,2,8.76,2.63,433.315277284868,447.548369408156,Object,"High Mental, High Physical",1
demon,S,,368,367,288,256,388,458,25,27,26,25,26,24,302,399,474,0.477121254719662,10,3,5.34,3.4,7.16,5,5,9,2,31.24,4.58,389.64828062835,366.927996087469,Object,"High Mental, High Physical",1
soul,S,,471,354,192,456,379,358,24,28,25,25,24,26,289,544,366,0.903089986991944,20,6.61,4.3,6.56,6.17,4,5,50,1,76.96,24.33,422.864560957842,361.050307148521,Object,"High Mental, High Physical",1
captain,H P,,696,680,633,600,597,626,26,25,27,27,29,27,534,498,497,1.17609125905568,13,5.71,3.86,5,6.06,7,0,2,2,208.27,21.28,662.425985766853,690.300924039096,People,"High Mental, High Physical",1
dentist,H P,,681,671,648,636,607,569,26,24,25,25,27,26,607,563,622,1,8,3.84,4.37,4.7,5.22,7,0,1,2,11.2,3.51,660.67766217756,676.344747352743,People,"High Mental, High Physical",1
snake,A R,,681,389,659,200,317,563,26,27,22,24,24,27,621,501,627,1.41497334797082,21,4.03,7.24,3.65,5.1,5,6,10,1,22.35,6.27,322.477912471749,674.477402909204,Animal,"High Mental, High Physical",1
nurse,H P,,688,646,638,652,626,596,24,24,21,27,23,25,588,537,617,1.11394335230684,10,5.41,4.64,5.58,5.84,5,3,13,1,44.98,13.1,649.907540579412,667.677156893984,People,"High Mental, High Physical",1
lawyer,H P,,652,600,638,639,610,633,25,23,26,28,20,27,569,520,557,1.53147891704226,13,3.94,3.95,3.56,7.78,6,1,3,2,79.51,20.1,609.023665875936,639.315751643189,People,"High Mental, High Physical",1
soldier,H P,,684,652,584,676,574,617,25,27,25,25,23,24,578,517,578,1.44715803134222,13,5.45,5.9,5.84,6.94,7,0,1,2,38.92,9.9,654.121448717709,651.724700076324,People,"High Mental, High Physical",1
surgeon,H P,,679,681,638,677,617,548,28,27,24,26,24,25,600,660,690,0.778151250383644,8,5.05,5.78,5,8.58,7,1,3,2,16.43,5.96,678.142219399668,668.264036576239,People,"High Mental, High Physical",1
physician,H P,,695,636,675,661,671,596,22,28,24,28,28,23,573,472,572,0,4,5.24,3.96,5.23,8.68,9,0,0,3,6.14,2.8,648.030334161421,676.522589680699,People,"High Mental, High Physical",1
policeman,H P,,669,630,600,648,596,642,26,27,26,23,23,24,574,570,629,0,25,4.21,4.06,5.76,4.44,9,1,0,3,11.73,4.6,635.706147150569,645.444642870375,People,"High Mental, High Physical",1
