role_name,task_name,sample_idx,average_log_probs,role_log_probs,role_period_log_prob,first_100_response_log_probs,first_100_response_text_len,steering_magnitude,steered_layers
scarf,meaning_of_life,1,-1.1640625,,,"[-21.25, -18.25, -0.6953125, -3.15625, -5.875, -4.03125, -2.34375, -1.21875, -5.0, -0.10302734375, -2.15625, -1.2421875, -3.703125, -0.038330078125, -0.302734375, -0.0191650390625, -0.29296875, -0.8515625, -0.1630859375, -0.0947265625, -0.0301513671875, -0.00103759765625, -2.384185791015625e-07, -0.004730224609375, -1.140625, -1.703125, -0.212890625, -13.0625, -0.00083160400390625, -0.6640625, -0.9140625, 0.0, -1.3046875, -4.96875, -0.2177734375, -0.828125, -0.06103515625, -1.6484375, -3.171875, -0.08544921875, -2.1875, -0.1142578125, -0.2490234375, -0.05615234375, -0.0517578125, -1.0, -0.83984375, -3.890625, -1.4140625, -0.08056640625, -2.828125, -2.484375, -0.10693359375, -0.578125, -0.5078125, -0.28515625, -4.0625, -0.00095367431640625, -0.6875, -1.09375, -1.140625, -1.7890625, -1.15625, -3.59375, -0.03759765625, -0.0166015625, -0.03564453125, -0.00168609619140625, -4.84375, -3.703125, -0.92578125, -0.6953125, -0.31640625, -0.1923828125, -1.4375, -0.3671875, -0.01336669921875, -0.2890625, -0.01025390625, -2.703125, -2.578125, -0.734375, -3.53125, -0.73828125, -2.9375, -0.314453125, -2.640625, -0.296875, -0.8203125, -1.5625, -0.412109375, -0.447265625, -0.1982421875, -0.048095703125, -1.203125, -0.01458740234375, -0.7109375, -0.6875, -0.08740234375, -3.15625]",416,0.1,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
scarf,meaning_of_life,2,-1.890625,,,"[-21.25, -12.9375, -0.09228515625, -13.125, -0.142578125, -3.40625, -0.0111083984375, -1.2578125, -2.484375, -12.4375, -14.375, -0.474609375, -7.625, -4.96875, -6.625, -1.8125, -0.59375, -5.65625, -0.515625, -0.75390625, -0.7734375, -0.1396484375, -3.546875, -0.09130859375, -1.765625, -1.3515625, -1.1796875, -0.9140625, -6.53125, -0.3125, -3.453125, -5.6875, -0.1884765625, -10.8125, -0.5703125, -5.8125, -1.6640625, -0.314453125, -0.032470703125, -0.1337890625, -9.0625, -1.6171875, -7.90625, -8.875, -0.2099609375, -5.75, -5.28125, -0.87890625, -3.03125, -0.73828125, -0.04296875, -0.1455078125, -3.0, -2.71875, -0.0030975341796875, -1.8671875, -1.109375, -0.0157470703125, -0.02685546875, -0.1640625, -1.9921875, -0.04296875, -1.609375, -3.109375, -0.026611328125, -0.10009765625, -1.171875, -0.040771484375, -1.28125, -0.84375, -0.283203125, -0.029541015625, -1.96875, -0.021728515625, -0.7890625, -6.25, -4.59375, -0.00787353515625, -0.10595703125, -0.8828125, -1.640625, -0.1494140625, -3.3125, -1.171875, -0.1669921875, -0.0264892578125, -0.0169677734375, -0.09521484375, -1.4140625, -1.65625, -4.96875, -1.8203125, -1.34375, -0.10205078125, -1.84375, -3.65625, -16.375, -0.06884765625, -2.734375, -1.875]",443,0.1,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
scarf,meaning_of_life,3,-1.1796875,,,"[-21.25, -18.25, -0.6953125, -7.03125, -4.75, -1.8515625, -9.4375, -1.6953125, -3.359375, -0.046630859375, -1.8984375, -1.515625, -1.4609375, -3.703125, -0.0810546875, -0.443359375, -0.0257568359375, -0.341796875, -0.66015625, -0.2294921875, -0.07763671875, -0.06591796875, -0.002197265625, -4.76837158203125e-07, -0.0021209716796875, -1.421875, -1.71875, -0.1689453125, -12.5, -0.003082275390625, -0.66796875, -4.09375, -1.4765625, -4.3125, -0.00023555755615234375, -2.453125, -0.00048828125, -0.83984375, -1.65625, -0.98828125, -0.7890625, -0.0191650390625, -0.380859375, -0.373046875, -1.4921875, -0.6171875, -2.6875, -1.8515625, -1.03125, -0.2021484375, -0.267578125, -1.390625, -0.25390625, -0.00091552734375, -1.4609375, -2.9375, -0.0283203125, -0.58203125, -0.0142822265625, -2.265625, -0.92578125, -3.75, -0.98046875, -0.031494140625, -0.287109375, -11.875, -0.00014781951904296875, -1.75, -1.9765625, -3.171875, -1.1920928955078125e-07, -0.62109375, -3.046875, -1.0234375, -0.007110595703125, -0.0159912109375, -0.546875, -0.9140625, -1.578125, -1.96875, -1.3125, -1.9921875, -6.46875, -0.1328125, -1.0859375, -0.26171875, -0.4765625, -1.3984375, -0.002899169921875, -4.53125, -1.4375, -3.15625, -4.100799560546875e-05, -0.7578125, -0.828125, -0.1728515625, -1.1875, -0.85546875, -0.0025787353515625, -3.0625]",442,0.1,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
scarf,meaning_of_life,4,-1.3125,,,"[-21.25, -12.8125, -0.0986328125, -11.4375, -0.251953125, -3.140625, -0.01409912109375, -1.3203125, -1.4453125, -1.6640625, -13.5625, -5.21875, -1.9375, -0.0009307861328125, -0.98828125, -0.032958984375, -2.21875, -0.66015625, -0.00579833984375, -1.015625, -1.640625, -2.015625, -0.06689453125, -0.00433349609375, -0.02197265625, -2.359375, -1.8125, -0.1376953125, -0.54296875, -0.1103515625, -0.2578125, -0.1064453125, -2.953125, -0.0791015625, -1.1920928955078125e-07, -0.0028533935546875, -1.34375, -1.328125, -6.75, -9.0, -0.83203125, -2.296875, -13.625, 0.0, -0.5703125, -7.40625, -0.146484375, -0.84375, -0.0003814697265625, -4.75, -2.234375, -0.1396484375, -2.40625, -0.55078125, -0.60546875, -1.0234375, -1.234375, -4.96875, -1.71875, -1.9375, -0.0306396484375, -0.69921875, -0.41015625, -2.15625, -0.0284423828125, -0.326171875, -0.53515625, -2.8125, -0.1103515625, -1.53125, -1.5, -0.3828125, -0.38671875, -3.625, -0.98828125, -0.0002994537353515625, -1.0625, -0.8984375, -0.004180908203125, -2.828125, -0.0791015625, -0.119140625, -0.03466796875, -4.9375, -2.15625, -1.03125, -1.1953125, -0.0003662109375, -1.9140625, -0.000598907470703125, -1.328125, -0.01708984375, -0.062255859375, -1.0625, -0.9375, -1.0234375, -0.1982421875, -2.3125, -0.70703125, -3.96875]",438,0.1,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
scarf,meaning_of_life,5,-1.9921875,,,"[-21.25, -12.9375, -0.09228515625, -13.125, -0.142578125, -3.40625, -0.0111083984375, -1.2578125, -0.73828125, -3.03125, -0.00634765625, -1.1640625, -1.1953125, -3.828125, -0.126953125, -0.002593994140625, -0.00958251953125, -1.3828125, -1.59375, -3.84375, -0.173828125, -0.91796875, -13.0, -3.5625, -3.171875, -0.1162109375, -2.984375, -0.10009765625, -2.384185791015625e-07, -0.0067138671875, -2.0, -1.7578125, -12.75, -4.21875, -2.15625, -10.4375, -1.09375, -6.125, -5.9375, -0.70703125, -1.3113021850585938e-06, -0.60546875, -0.0177001953125, -8.344650268554688e-07, -2.28125, -0.2158203125, -1.75, -0.0017852783203125, -1.546875, -1.4765625, -4.34375, -7.0, -0.318359375, -0.271484375, -0.2373046875, -2.046875, -1.3125, -0.15234375, -1.09375, -0.16796875, -0.054931640625, -0.25390625, -6.5, -1.265625, -0.0024871826171875, -18.5, -4.59375, -0.1416015625, -6.34375, -4.25, -0.283203125, -0.56640625, -2.96875, -1.890625, -0.078125, -0.1142578125, -0.21484375, -5.28125, -1.625, -0.349609375, -9.125, -0.55078125, -0.97265625, -0.002899169921875, -0.002197265625, -2.0265579223632812e-06, -1.1953125, -1.1015625, -0.00173187255859375, -1.75, -0.001495361328125, -0.11865234375, -0.003814697265625, -0.5859375, -0.38671875, -0.828125, -1.0078125, -0.005615234375, -0.107421875, -4.8125]",429,0.1,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
scarf,poem,1,-1.0390625,,,"[-2.890625, -0.000141143798828125, -0.00408935546875, -0.0032958984375, -0.2138671875, -5.28125, -8.249282836914062e-05, -3.609375, -9.625, -4.76837158203125e-07, -6.09375, -21.625, -2.28125, -0.181640625, -4.6875, -0.000476837158203125, -9.179115295410156e-06, -0.051025390625, -1.859375, -7.78125, -1.25, -9.0625, -8.106231689453125e-06, -0.000270843505859375, -6.5, -0.3515625, -0.9765625, -1.8203125, -0.0020599365234375, -0.0033111572265625, -5.0625, -0.166015625, -0.1005859375, -0.25390625, -0.71484375, -0.494140625, -1.5078125, -0.1044921875, -1.3203125, -4.76837158203125e-06, -0.154296875, -1.6953125, -1.6484375, -0.12060546875, -0.052001953125, -1.2421875, -0.34375, -1.1015625, -0.09130859375, -0.64453125, -0.81640625, -3.218650817871094e-05, -0.0380859375, -2.21875, -4.8125, -0.86328125, -4.34375, -0.021240234375, -1.7578125, -0.006378173828125, -0.1845703125, -0.408203125, -2.0265579223632812e-06, -1.15625, -5.0625, -4.15625, -0.54296875, -0.875, -2.953125, -0.36328125, -1.6484375, -0.201171875, -0.251953125, -0.65625, -0.984375, -7.867813110351562e-05, -0.77734375, -0.0169677734375, -0.06591796875, -1.7734375, -0.28125, -0.007568359375, -0.8359375, -3.625, -0.007049560546875, -4.76837158203125e-07, -0.08251953125, -4.125, -0.00124359130859375, -0.5078125, -0.287109375, -1.34375, -0.0247802734375, -1.6640625, -3.578125, -3.5, -0.0830078125, -5.960464477539062e-07, -0.053466796875, -3.25]",378,0.1,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
scarf,poem,2,-1.484375,,,"[-4.875, -4.40625, -4.1875, -2.46875, -6.3125, -0.0042724609375, -0.024658203125, -0.00049591064453125, -8.7738037109375e-05, -0.00014400482177734375, -4.28125, -2.109375, -0.208984375, -3.046875, -0.08056640625, -2.2530555725097656e-05, 0.0, -6.75, -12.875, -0.068359375, -0.62109375, -19.25, -5.65625, -0.033935546875, -4.09375, -0.05908203125, -3.25, -0.2119140625, -2.6226043701171875e-06, -0.01519775390625, -7.5, -0.80859375, -1.34375, -0.1259765625, -5.25, -0.455078125, -0.02001953125, -0.0015106201171875, -8.1875, -11.625, -0.62890625, -5.5625, -0.037353515625, -0.030517578125, -2.28125, -0.703125, -4.46875, -0.000316619873046875, -1.1920928955078125e-07, -2.328125, -5.53125, -5.25, -0.0240478515625, -1.359375, -0.130859375, -1.921875, -1.1920928955078125e-07, -0.2041015625, -1.421875, -1.4921875, -1.6484375, -7.96875, -1.1015625, -0.345703125, -0.003326416015625, -2.384185791015625e-07, -0.126953125, -1.703125, -2.140625, -3.828125, -0.001739501953125, -2.9921531677246094e-05, -3.5762786865234375e-07, -0.89453125, -2.890625, -1.40625, -0.0023651123046875, -3.578125, -0.373046875, -1.9765625, -0.0228271484375, -1.890625, -0.000385284423828125, -1.0625, -0.00286865234375, -1.1920928955078125e-07, -0.0277099609375, -4.59375, -0.076171875, -0.396484375, -7.343292236328125e-05, -0.07275390625, -0.00087738037109375, -6.84375, -0.10009765625, -0.05859375, 0.0, -0.609375, 0.0, -0.875]",382,0.1,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
scarf,poem,3,-1.1171875,,,"[-2.890625, -0.000141143798828125, -0.00408935546875, -0.0032958984375, -8.8125, -0.0137939453125, -0.0810546875, -12.9375, -2.2649765014648438e-05, -0.109375, -14.1875, -0.5546875, -0.00531005859375, -0.05859375, -4.78125, -0.004425048828125, -2.46875, -0.000782012939453125, -0.0027618408203125, -0.93359375, -1.4609375, -0.004638671875, -1.9140625, -0.03857421875, -2.296875, -0.04345703125, -1.2421875, -0.5234375, -0.08544921875, -3.546875, -3.734375, -0.06591796875, -0.01312255859375, -0.11328125, -0.002197265625, -0.00543212890625, -0.359375, -0.1640625, -0.78125, -0.6796875, -1.734375, -0.2421875, -0.0673828125, -3.421875, -2.953125, -1.1015625, -0.38671875, -10.5, -1.671875, -0.004486083984375, -0.515625, -0.002899169921875, -0.11181640625, -0.16015625, -0.7734375, -0.6953125, -0.08984375, -3.25, -0.036865234375, -2.109375, -0.96484375, -0.0142822265625, -0.09619140625, -2.171875, -0.11767578125, -0.310546875, -1.203125, -1.3125, -2.203125, -0.62109375, -0.038818359375, -2.46875, -1.7109375, -0.047119140625, -2.078125, -0.2421875, -1.2890625, -0.044677734375, -0.05078125, -2.15625, -0.06787109375, -1.5703125, -0.0247802734375, -1.3515625, -0.390625, -3.647804260253906e-05, -0.10107421875, -1.5703125, -0.0020751953125, -3.203125, -0.00099945068359375, -6.03125, -1.0078125, -0.0179443359375, -2.5, -0.033203125, -2.140625, -0.40234375, -1.2578125, -3.484375]",414,0.1,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
scarf,poem,4,-1.0234375,,,"[-2.890625, -0.000141143798828125, -0.00408935546875, -0.0032958984375, -8.8125, -0.0137939453125, -0.0810546875, -7.6875, -12.9375, -0.287109375, -12.125, -0.005340576171875, -0.1630859375, -6.46875, -0.12158203125, -0.00836181640625, -0.068359375, -1.3359375, -0.0498046875, -0.640625, -4.15625, -0.03662109375, -1.1484375, -0.2421875, -0.318359375, -3.140625, -2.125, -0.006134033203125, -0.00885009765625, -0.00616455078125, -0.40625, -1.203125, -0.0157470703125, -0.150390625, -1.15625, -0.072265625, -0.34765625, -0.67578125, -2.109375, -0.7421875, -0.640625, -2.28125, -0.1181640625, -0.3125, -0.53515625, -1.953125, -0.22265625, -0.00018405914306640625, -1.890625, -0.765625, -0.0458984375, -1.1953125, -0.41796875, -0.0096435546875, -0.0517578125, -2.34375, -0.05322265625, -2.53125, -3.53125, -0.003326416015625, -2.765625, -0.65625, -4.4345855712890625e-05, -1.8984375, -0.56640625, -0.2177734375, -0.77734375, -1.515625, -3.640625, -0.1826171875, -2.65625, -0.275390625, -8.153915405273438e-05, -0.08984375, -0.87890625, -0.002410888671875, -0.84765625, -0.357421875, -3.078125, -0.1650390625, -0.4140625, -0.1005859375, -1.265625, -0.8671875, -0.40234375, -0.392578125, -0.1103515625, -4.375, -1.953125, -1.3203125, -0.95703125, -0.080078125, -1.828125, -1.3828125, -1.140625, -0.0005035400390625, -1.8828125, -0.32421875, -0.953125, -3.765625]",408,0.1,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
scarf,poem,5,-1.0078125,,,"[-2.890625, -0.000141143798828125, -0.00408935546875, -0.0032958984375, -0.2138671875, -1.03125, -0.0023956298828125, -4.34375, -0.0030059814453125, -10.75, -8.821487426757812e-05, -0.4140625, -15.9375, -3.109375, -0.12890625, -6.40625, -0.00141143798828125, -1.7881393432617188e-06, -0.0311279296875, -4.0625, -0.7578125, -2.96875, -0.000125885009765625, -0.2734375, -0.546875, -0.0245361328125, -0.0751953125, -0.197265625, -0.005279541015625, -0.2333984375, -0.0205078125, -4.1875, -0.69140625, -6.198883056640625e-06, -0.00022602081298828125, -0.047607421875, -9.0, -0.2890625, -0.08642578125, -0.361328125, -1.1484375, -0.1494140625, -0.039794921875, -0.55859375, -0.95703125, -3.5625, -0.056884765625, -2.390625, -0.212890625, -2.21875, -0.796875, -0.271484375, -0.3203125, -2.384185791015625e-07, -0.26953125, -2.296875, -0.053955078125, -1.9453125, -0.2119140625, -0.419921875, -1.1796875, -0.005157470703125, -0.166015625, -0.036376953125, -2.875, -1.9453125, -0.78125, -0.7421875, -0.0198974609375, -3.140625, -0.87109375, -2.796875, -3.600120544433594e-05, -0.380859375, -1.2578125, -0.66796875, -0.0185546875, -5.9375, -0.00823974609375, -6.318092346191406e-06, -0.84765625, -0.0086669921875, -0.984375, -3.1875, -0.3828125, -0.208984375, -1.171875, -1.3125, -0.53125, -2.484375, -0.408203125, -0.208984375, -0.9921875, -3.25, -0.59765625, -0.040771484375, -5.25, -0.050048828125, -2.3125, -0.0003910064697265625]",403,0.1,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
