role_name,task_name,sample_idx,average_log_probs,role_log_probs,role_period_log_prob,first_100_response_log_probs,first_100_response_text_len,steering_magnitude,steered_layers
maze,steering_introspection,1,-10.75,,,"[-32.25, -0.004669189453125, -1.0728836059570312e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
maze,steering_introspection,1,-10.4375,,,"[-31.25, -3.5762786865234375e-07, -5.602836608886719e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
maze,steering_introspection,1,-8.875,,,"[-26.625, -0.0277099609375, -3.4570693969726562e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
maze,steering_introspection,1,-6.65625,,,"[-20.0, -1.5497207641601562e-06, -2.5033950805664062e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
soul,steering_introspection,1,-8.875,,,"[-29.125, -6.46875, -0.00482177734375, -4.76837158203125e-07]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
soul,steering_introspection,1,-5.53125,,,"[-17.625, -4.5, -1.430511474609375e-05, -2.9802322387695312e-05]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
soul,steering_introspection,1,-7.0625,,,"[-24.625, -3.546875, -0.0211181640625, -1.6689300537109375e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
soul,steering_introspection,1,-4.0625,,,"[-14.75, -1.484375, -3.2186508178710938e-06, -4.887580871582031e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
sock,steering_introspection,1,-13.0625,,,"[-39.0, -0.18359375, -1.7881393432617188e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
sock,steering_introspection,1,-8.9375,,,"[-26.875, -5.125999450683594e-05, -2.5033950805664062e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
sock,steering_introspection,1,-10.5625,,,"[-31.25, -0.5078125, -8.702278137207031e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
sock,steering_introspection,1,-8.0625,,,"[-24.125, -0.062255859375, -1.2159347534179688e-05]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
nurse,steering_introspection,1,-9.0625,,,"[-30.75, -5.59375, -0.00170135498046875, -9.5367431640625e-07]",6,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
nurse,steering_introspection,1,-6.40625,,,"[-22.375, -3.25, -9.655952453613281e-06, -6.9141387939453125e-06]",6,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
nurse,steering_introspection,1,-8.25,,,"[-27.625, -5.25, -0.00628662109375, -2.2649765014648438e-06]",6,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
nurse,steering_introspection,1,-5.4375,,,"[-16.25, -5.53125, -1.049041748046875e-05, -1.5616416931152344e-05]",6,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
worm,steering_introspection,1,-12.3125,,,"[-37.0, -0.0140380859375, -1.1920928955078125e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
worm,steering_introspection,1,-9.3125,,,"[-28.0, -0.00058746337890625, -1.5497207641601562e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
worm,steering_introspection,1,-11.125,,,"[-32.75, -0.59765625, -1.3113021850585938e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
worm,steering_introspection,1,-7.28125,,,"[-21.875, -0.00124359130859375, -2.0265579223632812e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
termite,steering_introspection,1,-10.9375,,,"[-37.25, -6.4375, -0.046630859375, -7.152557373046875e-07]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
termite,steering_introspection,1,-12.1875,,,"[-32.25, -16.5, -3.314018249511719e-05, -1.2278556823730469e-05]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
termite,steering_introspection,1,-10.3125,,,"[-34.0, -6.90625, -0.380859375, -2.1457672119140625e-06]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
termite,steering_introspection,1,-8.9375,,,"[-27.375, -8.25, -0.000308990478515625, -1.430511474609375e-06]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
captain,steering_introspection,1,-9.0,,,"[-35.75, -0.20703125, -0.0015716552734375, -9.5367431640625e-07]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
captain,steering_introspection,1,-6.25,,,"[-25.0, -0.000812530517578125, -5.245208740234375e-05, -1.1086463928222656e-05]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
captain,steering_introspection,1,-6.71875,,,"[-26.875, -0.0015869140625, -0.0277099609375, -7.152557373046875e-07]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
captain,steering_introspection,1,-5.625,,,"[-22.5, -0.000652313232421875, -2.5987625122070312e-05, -2.1457672119140625e-06]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
orthodontist,steering_introspection,1,-7.40625,,,"[-32.0, -4.96875, -0.00180816650390625, -0.00072479248046875, -5.960464477539062e-07]",13,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
orthodontist,steering_introspection,1,-7.28125,,,"[-33.25, -3.21875, -0.00335693359375, -3.0040740966796875e-05, -5.364418029785156e-06]",13,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
orthodontist,steering_introspection,1,-6.5625,,,"[-28.0, -4.75, -0.003143310546875, -0.0225830078125, -1.5497207641601562e-06]",13,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
orthodontist,steering_introspection,1,-5.46875,,,"[-22.375, -5.03125, -0.00811767578125, -5.316734313964844e-05, -2.384185791015625e-06]",13,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
referee,steering_introspection,1,-11.625,,,"[-37.5, -8.9375, -0.00034332275390625, 0.0]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
referee,steering_introspection,1,-8.9375,,,"[-25.5, -10.3125, -2.6226043701171875e-06, -1.7881393432617188e-06]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
referee,steering_introspection,1,-9.875,,,"[-33.75, -5.84375, -0.000782012939453125, -1.9073486328125e-06]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
referee,steering_introspection,1,-7.65625,,,"[-22.375, -8.1875, -6.9141387939453125e-06, -2.1457672119140625e-06]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
shovel,steering_introspection,1,-10.0,,,"[-31.5, -8.375, -0.0027313232421875, -8.344650268554688e-07]",7,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
shovel,steering_introspection,1,-7.59375,,,"[-22.0, -8.375, -6.079673767089844e-06, -5.841255187988281e-06]",7,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
shovel,steering_introspection,1,-8.75,,,"[-27.75, -7.21875, -0.037109375, -2.5033950805664062e-06]",7,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
