role_name,task_name,sample_idx,average_log_probs,role_log_probs,role_period_log_prob,first_100_response_log_probs,first_100_response_text_len,steering_magnitude,steered_layers
snake,steering_introspection,1,-10.5625,,,"[-31.375, -0.29296875, -3.5762786865234375e-07]",6,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
snake,steering_introspection,1,-7.375,,,"[-22.125, -2.2292137145996094e-05, -1.5497207641601562e-06]",6,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
snake,steering_introspection,1,-10.75,,,"[-31.5, -0.83203125, -2.384185791015625e-06]",6,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
snake,steering_introspection,1,-6.46875,,,"[-19.375, -0.00012683868408203125, -3.2186508178710938e-06]",6,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
blouse,steering_introspection,1,-10.625,,,"[-32.25, -10.125, -0.0015106201171875, -2.384185791015625e-07]",7,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
blouse,steering_introspection,1,-7.28125,,,"[-22.5, -6.625, -9.775161743164062e-06, -7.152557373046875e-07]",7,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
blouse,steering_introspection,1,-9.0,,,"[-28.125, -7.875, -0.009033203125, -7.152557373046875e-07]",7,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
blouse,steering_introspection,1,-6.59375,,,"[-19.0, -7.3125, -3.790855407714844e-05, -2.6226043701171875e-06]",7,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
monk,steering_introspection,1,-10.0,,,"[-37.5, -2.484375, -0.0284423828125, -6.556510925292969e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
monk,steering_introspection,1,-7.34375,,,"[-25.875, -3.4375, -0.0002899169921875, -1.049041748046875e-05]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
monk,steering_introspection,1,-8.5,,,"[-33.5, -0.5703125, -0.004364013671875, -4.5299530029296875e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
monk,steering_introspection,1,-5.9375,,,"[-22.875, -0.85546875, -2.777576446533203e-05, -2.002716064453125e-05]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
herb,steering_introspection,1,-10.125,,,"[-39.75, -0.255859375, -0.5, -1.0728836059570312e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
herb,steering_introspection,1,-6.96875,,,"[-27.0, -0.8828125, -0.0006866455078125, -1.9073486328125e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
herb,steering_introspection,1,-8.8125,,,"[-34.25, -0.84375, -0.11181640625, -1.5497207641601562e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
herb,steering_introspection,1,-6.34375,,,"[-24.375, -1.015625, -0.00174713134765625, -2.1457672119140625e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
coat,steering_introspection,1,-12.75,,,"[-38.25, -0.00628662109375, -2.384185791015625e-07]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
coat,steering_introspection,1,-8.6875,,,"[-26.0, -1.1444091796875e-05, -1.3113021850585938e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
coat,steering_introspection,1,-10.875,,,"[-32.5, -0.05224609375, -1.1920928955078125e-07]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
coat,steering_introspection,1,-6.28125,,,"[-18.875, -3.4332275390625e-05, -1.7881393432617188e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
stool,steering_introspection,1,-10.5,,,"[-32.25, -9.625, -0.00019073486328125, -1.0728836059570312e-06]",6,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
stool,steering_introspection,1,-7.21875,,,"[-21.875, -7.0, -4.76837158203125e-06, -1.633167266845703e-05]",6,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
stool,steering_introspection,1,-9.0,,,"[-29.875, -6.125, -0.01806640625, -5.0067901611328125e-06]",6,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
stool,steering_introspection,1,-6.25,,,"[-18.625, -6.375, -5.8650970458984375e-05, -3.2186508178710938e-06]",6,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
arm,steering_introspection,1,-12.875,,,"[-36.75, -1.90625, -1.4662742614746094e-05]",4,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
arm,steering_introspection,1,-8.75,,,"[-26.125, -0.138671875, -2.5510787963867188e-05]",4,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
arm,steering_introspection,1,-11.6875,,,"[-34.75, -0.30078125, -4.76837158203125e-06]",4,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
arm,steering_introspection,1,-7.09375,,,"[-21.25, -0.01165771484375, -7.152557373046875e-06]",4,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
unicorn,steering_introspection,1,-11.5625,,,"[-33.25, -1.5234375, -5.960464477539062e-07]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
unicorn,steering_introspection,1,-7.15625,,,"[-21.5, -9.417533874511719e-06, -2.9802322387695312e-06]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
unicorn,steering_introspection,1,-10.9375,,,"[-32.5, -0.22265625, -3.5762786865234375e-06]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
unicorn,steering_introspection,1,-6.78125,,,"[-20.375, -2.0265579223632812e-05, -3.2186508178710938e-06]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
soldier,steering_introspection,1,-8.875,,,"[-34.25, -1.3359375, -0.00131988525390625, -3.5762786865234375e-07]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
soldier,steering_introspection,1,-7.84375,,,"[-31.375, -0.00104522705078125, -1.4543533325195312e-05, -1.0728836059570312e-06]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
soldier,steering_introspection,1,-8.5,,,"[-34.0, -0.0037078857421875, -0.0084228515625, -1.0728836059570312e-06]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
soldier,steering_introspection,1,-6.0625,,,"[-24.25, -0.000446319580078125, -5.793571472167969e-05, -1.6689300537109375e-06]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
deck,steering_introspection,1,-12.8125,,,"[-38.5, -0.0048828125, -5.960464477539062e-07]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
deck,steering_introspection,1,-10.625,,,"[-31.875, -0.00016880035400390625, -2.6226043701171875e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
deck,steering_introspection,1,-11.0,,,"[-32.75, -0.28515625, -8.344650268554688e-07]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
deck,steering_introspection,1,-7.90625,,,"[-23.75, -0.0001506805419921875, -3.6954879760742188e-06]",5,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
emperor,steering_introspection,1,-11.6875,,,"[-35.5, -11.125, -0.000942230224609375, -9.5367431640625e-07]",8,0.0,"[np.int64(26), np.int64(30), np.int64(34), np.int64(38)]"
