role_name,task_name,sample_idx,average_log_probs,role_log_probs,role_period_log_prob,first_100_response_log_probs,first_100_response_text_len,steering_magnitude,steered_layers
spatula,steering_introspection,1,-14.3125,,,"[-49.0, -8.125, 0.0, -11.0, -3.53125]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
spatula,steering_introspection,1,-14.375,,,"[-43.25, -16.25, 0.0, -7.25, -5.25]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
spatula,steering_introspection,1,-17.625,,,"[-68.0, -10.3125, -3.6954879760742188e-06, -1.6875, -8.0]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
spatula,steering_introspection,1,-14.875,,,"[-60.25, -8.4375, -6.198883056640625e-06, -4.78125, -0.79296875]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
warehouse,steering_introspection,1,-26.875,,,"[-70.0, -8.125, -2.578125]",10,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
warehouse,steering_introspection,1,-23.875,,,"[-60.5, -1.3671875, -9.75]",10,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
warehouse,steering_introspection,1,-35.25,,,"[-79.0, -23.75, -3.296875]",10,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
warehouse,steering_introspection,1,-33.75,,,"[-75.0, -23.75, -2.8125]",10,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
orthodontist,steering_introspection,1,-16.875,,,"[-65.0, -0.69140625, 0.0, -16.25, -2.125]",13,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
orthodontist,steering_introspection,1,-15.3125,,,"[-59.0, -1.703125, 0.0, -7.5, -8.5]",13,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
orthodontist,steering_introspection,1,-15.875,,,"[-70.0, -2.15625, -1.1920928955078125e-07, -4.65625, -2.578125]",13,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
orthodontist,steering_introspection,1,-17.0,,,"[-66.0, -4.78125, 0.0, -14.0, -0.314453125]",13,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
roof,steering_introspection,1,-23.75,,,"[-61.25, -6.28125, -3.765625]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
roof,steering_introspection,1,-18.5,,,"[-45.25, -2.359375, -8.0]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
roof,steering_introspection,1,-29.25,,,"[-74.0, -12.125, -1.5234375]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
roof,steering_introspection,1,-29.875,,,"[-71.0, -13.5, -5.0]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
cigar,steering_introspection,1,-19.25,,,"[-51.25, -16.375, -5.125, -4.5]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
cigar,steering_introspection,1,-15.9375,,,"[-33.75, -23.0, -0.054931640625, -7.0]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
cigar,steering_introspection,1,-20.75,,,"[-63.25, -11.25, -3.078125, -5.25]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
cigar,steering_introspection,1,-19.5,,,"[-55.5, -12.25, -5.15625, -5.0]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
demon,steering_introspection,1,-34.25,,,"[-73.0, -28.75, -1.3125]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
demon,steering_introspection,1,-27.0,,,"[-53.5, -18.25, -9.25]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
demon,steering_introspection,1,-31.375,,,"[-77.0, -16.625, -0.388671875]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
demon,steering_introspection,1,-28.25,,,"[-68.0, -12.6875, -4.03125]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
lawyer,steering_introspection,1,-19.125,,,"[-64.0, -1.8359375, -6.0, -4.5]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
lawyer,steering_introspection,1,-15.8125,,,"[-51.75, -0.001220703125, -1.9140625, -9.5]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
lawyer,steering_introspection,1,-24.875,,,"[-80.0, -5.96875, -9.5625, -3.78125]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
lawyer,steering_introspection,1,-25.25,,,"[-71.5, -9.25, -16.25, -3.78125]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
truck,steering_introspection,1,-26.125,,,"[-65.0, -9.75, -3.53125]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
truck,steering_introspection,1,-18.625,,,"[-41.25, -6.53125, -8.25]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
truck,steering_introspection,1,-33.75,,,"[-83.0, -12.25, -5.75]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
truck,steering_introspection,1,-28.25,,,"[-71.5, -12.0625, -1.1484375]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
beetle,steering_introspection,1,-16.25,,,"[-54.5, -0.000553131103515625, -8.0, -2.578125]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
beetle,steering_introspection,1,-16.0,,,"[-51.75, -4.76837158203125e-06, -7.5, -5.0]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
beetle,steering_introspection,1,-24.5,,,"[-76.5, -5.7220458984375e-06, -12.0, -9.25]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
