role_name,task_name,sample_idx,average_log_probs,role_log_probs,role_period_log_prob,first_100_response_log_probs,first_100_response_text_len,steering_magnitude,steered_layers
clam,steering_introspection,1,-26.375,,,"[-67.5, -8.6875, -3.046875]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
clam,steering_introspection,1,-21.5,,,"[-54.0, -2.921875, -7.5]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
clam,steering_introspection,1,-32.25,,,"[-72.0, -16.375, -8.5]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
clam,steering_introspection,1,-26.875,,,"[-61.5, -6.46875, -12.75]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
hatchet,steering_introspection,1,-21.125,,,"[-60.25, -16.75, -3.78125, -3.765625]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
hatchet,steering_introspection,1,-14.8125,,,"[-37.25, -17.875, -0.018310546875, -4.03125]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
hatchet,steering_introspection,1,-22.25,,,"[-64.5, -18.625, -1.9453125, -4.03125]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
hatchet,steering_introspection,1,-21.375,,,"[-58.75, -17.0, -6.625, -3.296875]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
bloom,steering_introspection,1,-24.375,,,"[-62.5, -8.625, -2.125]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
bloom,steering_introspection,1,-19.25,,,"[-50.75, -3.78125, -3.28125]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
bloom,steering_introspection,1,-30.125,,,"[-82.0, -7.5625, -0.828125]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
bloom,steering_introspection,1,-27.125,,,"[-65.5, -11.25, -4.75]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
llm,steering_introspection,1,-16.625,,,"[-51.0, -14.125, -0.2119140625, -1.3125]",4,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
llm,steering_introspection,1,-16.25,,,"[-48.0, -11.9375, -0.007171630859375, -5.25]",4,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
llm,steering_introspection,1,-19.5,,,"[-61.25, -3.34375, -6.75, -6.75]",4,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
llm,steering_introspection,1,-13.6875,,,"[-49.25, -0.080078125, -4.71875, -0.59375]",4,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
policeman,steering_introspection,1,-19.375,,,"[-68.5, -17.625, -1.7578125, -4.03125, -4.75]",10,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
policeman,steering_introspection,1,-12.3125,,,"[-55.75, -0.703125, -3.0994415283203125e-05, -0.38671875, -4.75]",10,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
policeman,steering_introspection,1,-18.0,,,"[-78.5, -8.6875, -0.0208740234375, -0.390625, -2.34375]",10,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
policeman,steering_introspection,1,-17.25,,,"[-73.0, -6.96875, -0.041748046875, -5.9375, -0.0194091796875]",10,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
planet,steering_introspection,1,-20.375,,,"[-52.25, -7.375, -1.5]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
planet,steering_introspection,1,-16.375,,,"[-33.5, -4.03125, -11.5]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
planet,steering_introspection,1,-31.875,,,"[-79.5, -13.25, -3.046875]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
planet,steering_introspection,1,-28.0,,,"[-72.0, -10.0, -2.140625]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
scarf,steering_introspection,1,-19.625,,,"[-67.0, -5.817413330078125e-05, -9.75, -1.5]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
scarf,steering_introspection,1,-16.25,,,"[-51.75, 0.0, -6.25, -7.25]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
scarf,steering_introspection,1,-26.625,,,"[-87.5, -0.006744384765625, -11.25, -7.75]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
scarf,steering_introspection,1,-22.625,,,"[-75.5, -0.0032196044921875, -10.5625, -4.28125]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
peak,steering_introspection,1,-23.875,,,"[-64.5, -6.75, -0.251953125]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
peak,steering_introspection,1,-21.75,,,"[-54.75, -2.375, -8.0]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
peak,steering_introspection,1,-24.75,,,"[-64.5, -9.25, -0.4765625]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
peak,steering_introspection,1,-27.375,,,"[-66.0, -12.25, -3.78125]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
oak,steering_introspection,1,-22.0,,,"[-49.75, -13.0, -3.28125]",4,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
oak,steering_introspection,1,-20.125,,,"[-46.0, -5.53125, -8.75]",4,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
oak,steering_introspection,1,-25.0,,,"[-62.75, -11.1875, -0.97265625]",4,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
oak,steering_introspection,1,-28.5,,,"[-68.5, -10.75, -6.25]",4,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
mosquito,steering_introspection,1,-26.875,,,"[-65.0, -10.5, -5.0]",9,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
mosquito,steering_introspection,1,-23.75,,,"[-57.5, -5.0, -8.75]",9,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
mosquito,steering_introspection,1,-33.0,,,"[-78.5, -17.0, -3.53125]",9,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
mosquito,steering_introspection,1,-29.75,,,"[-71.5, -14.5, -3.28125]",9,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
nurse,steering_introspection,1,-25.625,,,"[-69.5, -5.0, -2.34375]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
nurse,steering_introspection,1,-23.375,,,"[-60.0, -2.8125, -7.25]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
nurse,steering_introspection,1,-30.0,,,"[-75.5, -8.25, -6.25]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
nurse,steering_introspection,1,-29.875,,,"[-72.0, -10.0, -7.75]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
sheet,steering_introspection,1,-23.75,,,"[-69.5, -0.1416015625, -1.703125]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
sheet,steering_introspection,1,-22.0,,,"[-60.0, -0.0859375, -5.75]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
sheet,steering_introspection,1,-28.375,,,"[-75.0, -7.0, -3.296875]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
sheet,steering_introspection,1,-25.25,,,"[-65.5, -4.46875, -5.75]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
deck,steering_introspection,1,-30.625,,,"[-68.0, -22.5, -1.5]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
deck,steering_introspection,1,-20.25,,,"[-54.75, -1.734375, -4.25]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
deck,steering_introspection,1,-29.125,,,"[-76.5, -9.625, -1.3125]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
deck,steering_introspection,1,-28.125,,,"[-74.5, -5.84375, -4.03125]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
angel,steering_introspection,1,-26.25,,,"[-63.5, -8.8125, -6.25]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
angel,steering_introspection,1,-21.875,,,"[-47.5, -8.25, -10.0]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
angel,steering_introspection,1,-31.875,,,"[-82.5, -12.5625, -0.38671875]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
angel,steering_introspection,1,-28.75,,,"[-66.5, -16.25, -3.53125]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
snail,steering_introspection,1,-27.375,,,"[-66.5, -12.8125, -2.8125]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
snail,steering_introspection,1,-22.5,,,"[-54.75, -7.03125, -5.75]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
snail,steering_introspection,1,-34.75,,,"[-85.5, -13.75, -5.0]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
snail,steering_introspection,1,-31.875,,,"[-78.0, -14.0625, -3.53125]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
mermaid,steering_introspection,1,-22.625,,,"[-58.0, -6.90625, -3.046875]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
mermaid,steering_introspection,1,-20.0,,,"[-47.25, -3.1875, -9.75]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
mermaid,steering_introspection,1,-30.75,,,"[-76.0, -14.5, -1.703125]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
mermaid,steering_introspection,1,-30.0,,,"[-68.0, -19.0, -2.8125]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
engineer,steering_introspection,1,-23.625,,,"[-63.5, -5.75, -1.703125]",9,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
engineer,steering_introspection,1,-19.875,,,"[-50.0, -0.484375, -9.0]",9,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
engineer,steering_introspection,1,-30.0,,,"[-73.0, -15.25, -1.9140625]",9,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
engineer,steering_introspection,1,-27.0,,,"[-67.5, -7.78125, -5.75]",9,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
toad,steering_introspection,1,-18.625,,,"[-62.5, -6.03125, -4.5, -1.5]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
toad,steering_introspection,1,-15.375,,,"[-51.0, -5.28125, -0.60546875, -4.5]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
toad,steering_introspection,1,-21.625,,,"[-64.0, -19.25, -2.8125, -0.314453125]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
toad,steering_introspection,1,-16.75,,,"[-52.75, -12.75, -1.3984375, -0.0072021484375]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
tree,steering_introspection,1,-19.0,,,"[-44.75, -7.53125, -4.75]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
tree,steering_introspection,1,-11.4375,,,"[-20.375, -6.25, -7.75]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
tree,steering_introspection,1,-31.375,,,"[-76.5, -10.0, -7.75]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
tree,steering_introspection,1,-27.5,,,"[-68.0, -12.5, -2.125]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
flower,steering_introspection,1,-20.625,,,"[-46.0, -10.5, -5.5]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
flower,steering_introspection,1,-13.375,,,"[-23.125, -8.0, -9.0]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
flower,steering_introspection,1,-29.75,,,"[-72.5, -9.0625, -7.5]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
flower,steering_introspection,1,-23.25,,,"[-54.25, -10.8125, -4.75]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
bacteria,steering_introspection,1,-27.25,,,"[-70.5, -7.0, -4.25]",9,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
bacteria,steering_introspection,1,-22.625,,,"[-57.25, -3.78125, -7.0]",9,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
bacteria,steering_introspection,1,-32.75,,,"[-77.5, -16.5, -4.5]",9,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
bacteria,steering_introspection,1,-27.375,,,"[-62.25, -16.5, -3.296875]",9,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
clove,steering_introspection,1,-21.125,,,"[-58.5, -18.75, -3.046875, -4.03125]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
clove,steering_introspection,1,-17.875,,,"[-46.25, -15.875, -0.1845703125, -9.25]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
clove,steering_introspection,1,-25.0,,,"[-70.0, -25.125, -0.96875, -4.09375]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
