role_name,task_name,sample_idx,average_log_probs,role_log_probs,role_period_log_prob,first_100_response_log_probs,first_100_response_text_len,steering_magnitude,steered_layers
flower,steering_introspection,1,-20.625,,,"[-46.0, -10.5, -5.5]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
flower,steering_introspection,1,-13.375,,,"[-23.125, -8.0, -9.0]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
flower,steering_introspection,1,-29.75,,,"[-72.5, -9.0625, -7.5]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
flower,steering_introspection,1,-23.25,,,"[-54.25, -10.8125, -4.75]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
flea,steering_introspection,1,-20.25,,,"[-53.0, -18.25, -8.25, -1.3125]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
flea,steering_introspection,1,-16.875,,,"[-42.5, -17.5, -3.53125, -4.03125]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
flea,steering_introspection,1,-23.25,,,"[-57.75, -23.5, -3.140625, -8.5]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
flea,steering_introspection,1,-21.125,,,"[-52.25, -23.125, -4.0, -5.25]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
corridor,steering_introspection,1,-18.375,,,"[-60.25, -4.53125, -7.75, -0.82421875]",9,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
corridor,steering_introspection,1,-15.875,,,"[-52.5, -0.73828125, -1.9140625, -8.25]",9,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
corridor,steering_introspection,1,-19.5,,,"[-73.0, -1.25, -3.953125, -0.00885009765625]",9,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
corridor,steering_introspection,1,-21.5,,,"[-69.0, -3.765625, -9.25, -4.03125]",9,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
bucket,steering_introspection,1,-21.0,,,"[-58.0, -2.859375, -2.125]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
bucket,steering_introspection,1,-16.375,,,"[-41.75, -1.296875, -6.0]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
bucket,steering_introspection,1,-33.0,,,"[-85.5, -11.75, -1.703125]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
bucket,steering_introspection,1,-26.625,,,"[-71.5, -5.8125, -2.578125]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
mosquito,steering_introspection,1,-26.875,,,"[-65.0, -10.5, -5.0]",9,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
mosquito,steering_introspection,1,-23.75,,,"[-57.5, -5.0, -8.75]",9,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
mosquito,steering_introspection,1,-33.0,,,"[-78.5, -17.0, -3.53125]",9,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
mosquito,steering_introspection,1,-29.75,,,"[-71.5, -14.5, -3.28125]",9,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
root,steering_introspection,1,-23.75,,,"[-67.5, -2.71875, -1.140625]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
root,steering_introspection,1,-22.125,,,"[-59.25, -0.54296875, -6.5]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
root,steering_introspection,1,-27.25,,,"[-70.5, -11.375, -0.0235595703125]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
