role_name,task_name,sample_idx,average_log_probs,role_log_probs,role_period_log_prob,first_100_response_log_probs,first_100_response_text_len,steering_magnitude,steered_layers
mermaid,steering_introspection,1,-22.625,,,"[-58.0, -6.90625, -3.046875]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
mermaid,steering_introspection,1,-20.0,,,"[-47.25, -3.1875, -9.75]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
mermaid,steering_introspection,1,-30.75,,,"[-76.0, -14.5, -1.703125]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
mermaid,steering_introspection,1,-30.0,,,"[-68.0, -19.0, -2.8125]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
oak,steering_introspection,1,-22.0,,,"[-49.75, -13.0, -3.28125]",4,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
oak,steering_introspection,1,-20.125,,,"[-46.0, -5.53125, -8.75]",4,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
oak,steering_introspection,1,-25.0,,,"[-62.75, -11.1875, -0.97265625]",4,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
oak,steering_introspection,1,-28.5,,,"[-68.5, -10.75, -6.25]",4,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
statue,steering_introspection,1,-17.125,,,"[-56.5, -0.00070953369140625, -10.0, -2.125]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
statue,steering_introspection,1,-14.6875,,,"[-45.5, 0.0, -4.5, -8.75]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
statue,steering_introspection,1,-21.0,,,"[-67.5, -1.34375, -9.3125, -5.75]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
statue,steering_introspection,1,-20.125,,,"[-55.5, -7.0, -14.0, -4.03125]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
puzzle,steering_introspection,1,-22.75,,,"[-60.75, -6.75, -0.82421875]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
puzzle,steering_introspection,1,-19.5,,,"[-48.0, -1.71875, -8.75]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
puzzle,steering_introspection,1,-30.375,,,"[-68.0, -20.0, -3.296875]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
puzzle,steering_introspection,1,-29.75,,,"[-69.0, -15.75, -4.53125]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
galaxy,steering_introspection,1,-20.75,,,"[-52.75, -7.5, -1.9140625]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
galaxy,steering_introspection,1,-16.75,,,"[-36.5, -1.1484375, -12.5]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
galaxy,steering_introspection,1,-31.875,,,"[-81.0, -11.5, -3.296875]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
galaxy,steering_introspection,1,-25.875,,,"[-65.0, -9.5625, -3.046875]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
waiter,steering_introspection,1,-21.875,,,"[-72.0, -9.75, -2.578125, -3.046875]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
waiter,steering_introspection,1,-13.625,,,"[-50.5, -0.126953125, -0.12890625, -3.765625]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
waiter,steering_introspection,1,-25.625,,,"[-75.5, -22.5, -4.28125, -0.0264892578125]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
waiter,steering_introspection,1,-21.875,,,"[-61.5, -21.125, -4.90625, -0.052978515625]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
jug,steering_introspection,1,-24.5,,,"[-59.25, -12.6875, -1.703125]",4,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
jug,steering_introspection,1,-19.75,,,"[-53.25, -0.00164031982421875, -6.0]",4,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
jug,steering_introspection,1,-31.875,,,"[-83.0, -12.3125, -0.134765625]",4,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
jug,steering_introspection,1,-32.75,,,"[-79.5, -15.25, -3.53125]",4,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
root,steering_introspection,1,-23.75,,,"[-67.5, -2.71875, -1.140625]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
root,steering_introspection,1,-22.125,,,"[-59.25, -0.54296875, -6.5]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
root,steering_introspection,1,-27.25,,,"[-70.5, -11.375, -0.0235595703125]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
