role_name,task_name,sample_idx,average_log_probs,role_log_probs,role_period_log_prob,first_100_response_log_probs,first_100_response_text_len,steering_magnitude,steered_layers
clam,steering_introspection,1,-26.375,,,"[-67.5, -8.6875, -3.046875]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
clam,steering_introspection,1,-21.5,,,"[-54.0, -2.921875, -7.5]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
clam,steering_introspection,1,-32.25,,,"[-72.0, -16.375, -8.5]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
clam,steering_introspection,1,-26.875,,,"[-61.5, -6.46875, -12.75]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
waiter,steering_introspection,1,-21.875,,,"[-72.0, -9.75, -2.578125, -3.046875]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
waiter,steering_introspection,1,-13.625,,,"[-50.5, -0.126953125, -0.12890625, -3.765625]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
waiter,steering_introspection,1,-25.625,,,"[-75.5, -22.5, -4.28125, -0.0264892578125]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
waiter,steering_introspection,1,-21.875,,,"[-61.5, -21.125, -4.90625, -0.052978515625]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
professor,steering_introspection,1,-26.125,,,"[-68.5, -5.75, -4.03125]",10,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
professor,steering_introspection,1,-22.0,,,"[-53.5, -2.578125, -9.75]",10,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
professor,steering_introspection,1,-29.875,,,"[-72.0, -17.75, -0.062255859375]",10,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
professor,steering_introspection,1,-29.5,,,"[-69.5, -16.25, -2.65625]",10,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
spider,steering_introspection,1,-22.875,,,"[-58.25, -8.125, -2.125]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
spider,steering_introspection,1,-20.875,,,"[-47.5, -6.5, -8.75]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
spider,steering_introspection,1,-33.5,,,"[-81.0, -14.75, -5.0]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
spider,steering_introspection,1,-29.5,,,"[-70.5, -14.3125, -3.53125]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
shadow,steering_introspection,1,-21.875,,,"[-60.25, -3.78125, -1.703125]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
shadow,steering_introspection,1,-18.0,,,"[-46.25, -0.205078125, -7.5]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
shadow,steering_introspection,1,-27.375,,,"[-69.0, -10.0625, -3.0625]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
shadow,steering_introspection,1,-27.125,,,"[-66.5, -10.5, -4.5]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
demon,steering_introspection,1,-34.25,,,"[-73.0, -28.75, -1.3125]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
demon,steering_introspection,1,-27.0,,,"[-53.5, -18.25, -9.25]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
demon,steering_introspection,1,-31.375,,,"[-77.0, -16.625, -0.388671875]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
demon,steering_introspection,1,-28.25,,,"[-68.0, -12.6875, -4.03125]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
unicorn,steering_introspection,1,-24.75,,,"[-55.75, -14.625, -3.765625]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
unicorn,steering_introspection,1,-19.75,,,"[-41.0, -8.5625, -9.75]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
unicorn,steering_introspection,1,-31.625,,,"[-79.0, -12.5, -3.53125]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
unicorn,steering_introspection,1,-29.125,,,"[-66.5, -16.25, -4.75]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
coat,steering_introspection,1,-26.625,,,"[-69.0, -6.34375, -4.5]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
coat,steering_introspection,1,-19.375,,,"[-48.75, -2.8125, -6.5]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
coat,steering_introspection,1,-31.0,,,"[-85.5, -6.0625, -1.5078125]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
coat,steering_introspection,1,-30.0,,,"[-77.0, -10.0625, -2.8125]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
rabbi,steering_introspection,1,-21.5,,,"[-68.0, -7.84375, -5.25, -5.0]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
rabbi,steering_introspection,1,-18.875,,,"[-59.75, -5.5, -4.03125, -6.0]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
rabbi,steering_introspection,1,-23.75,,,"[-87.5, -0.240234375, -0.46484375, -6.75]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
rabbi,steering_introspection,1,-21.375,,,"[-78.5, -0.0189208984375, -6.5, -0.6953125]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
blossom,steering_introspection,1,-14.25,,,"[-58.75, -0.049560546875, 0.0, -11.0, -1.5]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
blossom,steering_introspection,1,-11.625,,,"[-46.25, -1.4662742614746094e-05, 0.0, -7.75, -4.25]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
blossom,steering_introspection,1,-18.625,,,"[-76.0, -4.28125, -5.960464477539062e-07, -3.21875, -9.5]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
blossom,steering_introspection,1,-14.75,,,"[-57.5, -0.890625, -2.384185791015625e-07, -8.4375, -6.875]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
clove,steering_introspection,1,-21.125,,,"[-58.5, -18.75, -3.046875, -4.03125]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
clove,steering_introspection,1,-17.875,,,"[-46.25, -15.875, -0.1845703125, -9.25]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
clove,steering_introspection,1,-25.0,,,"[-70.0, -25.125, -0.96875, -4.09375]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
clove,steering_introspection,1,-23.5,,,"[-64.5, -21.125, -1.671875, -6.5]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
galaxy,steering_introspection,1,-20.75,,,"[-52.75, -7.5, -1.9140625]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
galaxy,steering_introspection,1,-16.75,,,"[-36.5, -1.1484375, -12.5]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
galaxy,steering_introspection,1,-31.875,,,"[-81.0, -11.5, -3.296875]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
galaxy,steering_introspection,1,-25.875,,,"[-65.0, -9.5625, -3.046875]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
surgeon,steering_introspection,1,-27.5,,,"[-75.0, -5.59375, -1.9140625]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
surgeon,steering_introspection,1,-24.25,,,"[-65.0, -0.1298828125, -7.5]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
surgeon,steering_introspection,1,-35.0,,,"[-85.5, -19.125, -0.0390625]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
surgeon,steering_introspection,1,-34.0,,,"[-76.5, -22.75, -2.578125]",8,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
snake,steering_introspection,1,-25.25,,,"[-61.25, -10.75, -3.765625]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
snake,steering_introspection,1,-21.875,,,"[-52.5, -3.53125, -9.75]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
snake,steering_introspection,1,-33.25,,,"[-82.5, -8.25, -9.0]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
snake,steering_introspection,1,-29.25,,,"[-74.5, -10.3125, -3.046875]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
hair,steering_introspection,1,-28.625,,,"[-64.5, -20.0, -1.3125]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
hair,steering_introspection,1,-19.875,,,"[-49.5, -2.9375, -7.25]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
hair,steering_introspection,1,-30.625,,,"[-75.0, -12.5, -4.25]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
hair,steering_introspection,1,-28.375,,,"[-68.5, -12.5625, -4.03125]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
root,steering_introspection,1,-23.75,,,"[-67.5, -2.71875, -1.140625]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
root,steering_introspection,1,-22.125,,,"[-59.25, -0.54296875, -6.5]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
root,steering_introspection,1,-27.25,,,"[-70.5, -11.375, -0.0235595703125]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
root,steering_introspection,1,-26.125,,,"[-71.5, -6.15625, -0.703125]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
truck,steering_introspection,1,-26.125,,,"[-65.0, -9.75, -3.53125]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
truck,steering_introspection,1,-18.625,,,"[-41.25, -6.53125, -8.25]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
truck,steering_introspection,1,-33.75,,,"[-83.0, -12.25, -5.75]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
truck,steering_introspection,1,-28.25,,,"[-71.5, -12.0625, -1.1484375]",6,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
barrel,steering_introspection,1,-24.125,,,"[-59.0, -9.75, -3.765625]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
barrel,steering_introspection,1,-22.125,,,"[-53.75, -4.28125, -8.5]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
barrel,steering_introspection,1,-32.75,,,"[-73.5, -18.125, -6.375]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
barrel,steering_introspection,1,-28.125,,,"[-69.5, -7.625, -7.25]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
lawyer,steering_introspection,1,-19.125,,,"[-64.0, -1.8359375, -6.0, -4.5]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
lawyer,steering_introspection,1,-15.8125,,,"[-51.75, -0.001220703125, -1.9140625, -9.5]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
lawyer,steering_introspection,1,-24.875,,,"[-80.0, -5.96875, -9.5625, -3.78125]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
lawyer,steering_introspection,1,-25.25,,,"[-71.5, -9.25, -16.25, -3.78125]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
roof,steering_introspection,1,-23.75,,,"[-61.25, -6.28125, -3.765625]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
roof,steering_introspection,1,-18.5,,,"[-45.25, -2.359375, -8.0]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
roof,steering_introspection,1,-29.25,,,"[-74.0, -12.125, -1.5234375]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
roof,steering_introspection,1,-29.875,,,"[-71.0, -13.5, -5.0]",5,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
statue,steering_introspection,1,-17.125,,,"[-56.5, -0.00070953369140625, -10.0, -2.125]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
statue,steering_introspection,1,-14.6875,,,"[-45.5, 0.0, -4.5, -8.75]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
statue,steering_introspection,1,-21.0,,,"[-67.5, -1.34375, -9.3125, -5.75]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
statue,steering_introspection,1,-20.125,,,"[-55.5, -7.0, -14.0, -4.03125]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
crater,steering_introspection,1,-16.875,,,"[-59.5, -1.0703125, -4.71875, -2.125]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
crater,steering_introspection,1,-15.75,,,"[-52.5, -2.359375, -0.984375, -7.25]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
crater,steering_introspection,1,-26.125,,,"[-84.5, -11.25, -4.59375, -4.03125]",7,0.0,"[np.int64(44), np.int64(48), np.int64(52), np.int64(56)]"
